,artist,count,year
616,Eric Weissberg,1,1973
617,Juvenile,1,1999
618,Ozark Mountain Daredevils,1,1975
619,Climax Blues Band,1,1977
620,Bruce Springsteen,1,1994
621,Chad Brock,1,2000
622,Master P,2,1998
623,Daryl Hall and John Oates,3,1982
624,Next,1,2000
625,Mary J. Blige,1,1996
626,Simple Minds,1,1986
627,Andy Gibb,1,1980
628,2Pac,1,1994
629,Soft Cell,1,1982
630,Vanessa Williams,1,1992
631,Jackson Browne,1,1978
632,Sam Smith,1,2014
633,Keith Sweat,1,1996
634,Dawn,1,1970
635,Orianthi,1,2010
636,AWOLNATION,1,2013
637,Neil Diamond,1,1972
638,Brandy,3,1995
639,Jerrod Niemann,1,2010
640,Prince,2,1984
641,Eric Clapton,1,1974
642,David Lee Roth,1,1988
643,Boyz II Men,1,1991
644,Maroon 5,1,2010
645,Prince,1,1990
646,Jason Aldean,2,2012
647,Bertie Higgins,1,1982
648,Wayne Wonder,1,2003
649,Neil Sedaka,1,1976
650,Chuck Mangione,1,1978
651,4 Non Blondes,1,1993
652,Jessica Simpson,1,2001
653,Eddie Rabbitt,1,1980
654,The Pointer Sisters,1,1979
655,Michael Bolton,1,1993
656,Shanice,1,1993
657,Melanie,1,1970
658,Chad Kroeger,1,2002
659,Hinder,2,2007
660,Outkast,3,2004
661,Raydio,1,1979
662,Bill Withers,1,1971
663,Poison,1,1990
664,Jackson Browne,1,1972
665,Donny Osmond,1,1972
666,Marty Balin,1,1981
667,ScHoolboy Q,1,2014
668,Ahmad,1,1994
669,Boy Meets Girl,1,1989
670,Mountain,1,1970
671,Commander Cody and His Lost Planet Airmen,1,1972
672,Rosanne Cash,1,1981
673,Sly and the Family Stone,1,1970
674,Better Than Ezra,1,1995
675,Baby Boy da Prince,1,2007
676,Mr. Mister,2,1986
677,Tracey Ullman,1,1984
678,Jennifer Lopez,1,1999
679,Eddie Money,1,1986
680,David Banner,1,2008
681,Hanson,1,1997
682,T-Pain,1,2008
683,Jon Secada,1,1994
684,The Beatles,1,1976
685,Delbert McClinton,1,1981
686,Whitney Houston,2,1991
687,Rick Astley,1,1989
688,Pras Michel,1,1998
689,Petey Pablo,1,2004
690,Alabama,1,1999
691,Big Sean,1,2011
692,Jason Derulo,3,2010
693,Gladys Knight and the Pips,2,1973
694,Maxi Priest,1,1996
695,Sean Kingston,1,2008
696,Omarion,1,2005
697,Elvin Bishop,1,1976
698,Wet Willie,1,1974
699,The Rolling Stones,1,1980
700,Donna Summer,1,1982
701,The Stampeders,1,1971
702,Air Supply,3,1982
703,Tears for Fears,3,1985
704,Commodores,1,1977
705,Minnie Riperton,1,1975
706,Daughtry,1,2008
707,Paul,1,1971
708,Stevie Nicks,1,1983
709,Zac Brown Band,2,2009
710,Peter Frampton,2,1976
711,Pet Shop Boys,1,1986
712,Elton John,2,1982
713,"Earth, Wind and Fire",2,1976
714,Maxwell,1,2009
715,Alan O'Day,1,1977
716,DeBarge,1,1983
717,Sean Kingston,1,2007
718,Eddie Rabbitt,2,1981
719,Paul Davis,1,1978
720,Duice,1,1993
721,Sister Janet Mead,1,1974
722,Parliament,1,1978
723,Peter Cetera,1,1988
724,beyonce,2,2007
725,The Killers,1,2005
726,Stevie Wonder,1,1975
727,Mike + The Mechanics,2,1986
728,Total,1,1995
729,The Isley Brothers,1,2001
730,Ambrosia,1,1980
731,B.T. Express,2,1975
732,Howie Day,1,2005
733,Starship,1,1985
734,"Crosby, Stills and Nash",1,1977
735,Prince,1,1980
736,Kim Carnes,1,1981
737,Jim Jones,1,2007
738,Immature,1,1995
739,Joni Mitchell,1,1974
740,Kid Ink,1,2014
741,Shaun Cassidy,2,1977
742,Helen Reddy,1,1975
743,Colbie Caillat,1,2008
744,Brantley Gilbert,1,2014
745,Kathy Troccoli,1,1992
746,Everything but the Girl,1,1996
747,Manfred Mann's Earth Band,1,1977
748,Olivia Newton-John,1,1980
749,Foreigner,2,1977
750,Donna Fargo,1,1972
751,Carl Douglas,1,1975
752,Gnarls Barkley,1,2006
753,Kyper,1,1990
754,Peaches and Herb,1,1980
755,Phil Collins,4,1985
756,Vanessa Williams,2,1995
757,Flo Rida,2,2009
758,Billy Joel,1,1978
759,Pseudo Echo,1,1987
760,Drake,2,2012
761,Karmin,1,2012
762,Jon B.,1,1995
763,Pink,1,2012
764,2Pac,1,2003
765,Lil Jon,1,2005
766,Rufus,1,1976
767,Madonna,3,1989
768,"Hamilton, Joe Frank and Reynolds",1,1971
769,Tinashe,1,2014
770,Mýa,1,2000
771,Steve Winwood,1,1987
772,George Strait,1,2002
773,Club Nouveau,1,1987
774,Pointer Sisters,2,1984
775,Pitbull,2,2011
776,J. Cole,1,2012
777,John Cougar Mellencamp,2,1986
778,Jody Watley,1,1988
779,Craig David,1,2001
780,Mr. Big,2,1992
781,Survivor,2,1985
782,Smash Mouth,1,1999
783,Little River Band,2,1982
784,The Outfield,1,1986
785,The Alan Parsons Project,2,1981
786,The Three Degrees,1,1975
787,Styx,1,1978
788,Crowded House,2,1987
789,Do or Die,1,1996
790,Hot Butter,1,1972
791,Amerie,1,2005
792,Beyonce,1,2003
793,Sean Paul,1,2005
794,Michael Franti and Spearhead,1,2009
795,Patti Austin,1,1983
796,David Bowie,2,1983
797,Paul McCartney,1,1985
798,Jan Hammer,1,1985
799,Da Brat,1,1994
800,Electric Light Orchestra,2,1978
801,Queen,1,1977
802,Janet Jackson,3,1993
803,Gloria Estefan,1,1990
804,Bobby Brown,1,1992
805,Keith Sweat,1,1991
806,Rick Astley,1,1991
807,Elvis Presley,1,1977
808,Monica,1,1998
809,Martika,1,1989
810,Eddie Kendricks,1,1975
811,Lonestar,1,2003
812,Elton John,1,1995
813,Busta Rhymes,1,1999
814,Wings,1,1979
815,Dem Franchize Boyz,2,2006
816,P. Diddy,2,2002
817,Janet Jackson,1,1989
818,The Temptations,1,1971
819,Billy Squier,1,1984
820,Bee Gees,3,1979
821,Donna Summer,1,1978
822,Kylie Minogue,1,1988
823,Jesus Jones,2,1991
824,Maxwell,1,1999
825,Starpoint,1,1986
826,Golden Earring,1,1983
827,Todd Rundgren,1,1972
828,Emeli Sande,1,2013
829,Mocedades,1,1974
830,Lynyrd Skynyrd,1,1978
831,Gerald Levert,1,1998
832,Tinie Tempah,1,2011
833,Default,1,2002
834,Seal,1,1996
835,Pat Benatar,1,1984
836,Amy Winehouse,1,2007
837,Jason Mraz,1,2003
838,Snoop Dogg,1,2012
839,The Bells,1,1971
840,Terence Trent D'Arby,2,1988
841,Chic,3,1979
842,Everlast,1,1999
843,Elton John,1,1980
844,Goo Goo Dolls,1,2000
845,Papa Roach,1,2005
846,Adele,4,2012
847,Lisa Stansfield,1,1990
848,Rocko,1,2013
849,Yung Joc,2,2006
850,Cat Stevens,1,1974
851,Tavares,1,1976
852,Missy Elliott,1,2005
853,Jason Derulo,1,2013
854,Patrick Swayze,1,1988
855,Lionel Richie,3,1986
856,Paul Stookey,1,1971
857,Redbone,1,1972
858,Selena Gomez and the Scene,1,2010
859,Madonna,2,1998
860,Five for Fighting,1,2002
861,Jennifer Lopez,1,2011
862,Thomas Dolby,1,1983
863,Pharrell Williams,1,2014
864,Idina Menzel,1,2014
865,Truth Hurts,1,2002
866,Swedish House Mafia,1,2013
867,The Police,1,1984
868,Paul Anka,1,1976
869,Shaggy,1,1995
