position,year,title.href,title,artist,lyrics,decade,song_key
65,1984,https://en.wikipedia.org/wiki/You_Might_Think,You Might Think,The Cars,x,1980,1984-65
66,1984,https://en.wikipedia.org/wiki/Lucky_Star_(Madonna_song),Lucky Star,Madonna,x,1980,1984-66
68,1984,https://en.wikipedia.org/wiki/Cum_on_Feel_the_Noize,Cum on Feel the Noize,Quiet Riot,x,1980,1984-68
70,1984,https://en.wikipedia.org/wiki/Adult_Education_(song),Adult Education,Daryl Hall and John Oates,x,1980,1984-70
76,1984,https://en.wikipedia.org/wiki/I%27m_So_Excited,I'm So Excited,The Pointer Sisters,x,1980,1984-76
77,1984,https://en.wikipedia.org/wiki/I_Still_Can%27t_Get_Over_Loving_You,I Still Can't Get Over Loving You,"Ray Parker, Jr.",x,1980,1984-77
80,1984,https://en.wikipedia.org/wiki/Breakin%27..._There%27s_No_Stopping_Us,Breakin'... There's No Stopping Us,Ollie and Jerry,x,1980,1984-80
85,1984,https://en.wikipedia.org/wiki/Wrapped_Around_Your_Finger,Wrapped Around Your Finger,The Police,x,1980,1984-85
88,1984,https://en.wikipedia.org/wiki/Head_over_Heels_(The_Go-Go%27s_song),Head over Heels,The Go-Go's,x,1980,1984-88
93,1984,https://en.wikipedia.org/wiki/Undercover_of_the_Night,Undercover of the Night,The Rolling Stones,x,1980,1984-93
94,1984,,On the Dark Side,John Cafferty and The Beaver Brown Band,x,1980,1984-94
97,1984,https://en.wikipedia.org/wiki/Magic_(The_Cars_song),Magic,The Cars,x,1980,1984-97
1,1985,https://en.wikipedia.org/wiki/Careless_Whisper,Careless Whisper,Wham!,x,1980,1985-1
3,1985,https://en.wikipedia.org/wiki/Wake_Me_Up_Before_You_Go-Go,Wake Me Up Before You Go-Go,Wham!,x,1980,1985-3
6,1985,https://en.wikipedia.org/wiki/Out_of_Touch,Out of Touch,Daryl Hall and John Oates,x,1980,1985-6
18,1985,https://en.wikipedia.org/wiki/St._Elmo%27s_Fire_(Man_in_Motion),St. Elmo's Fire (Man in Motion),John Parr,x,1980,1985-18
24,1985,https://en.wikipedia.org/wiki/Heaven_(Bryan_Adams_song),Heaven,Bryan Adams,x,1980,1985-24
25,1985,https://en.wikipedia.org/wiki/Everything_She_Wants,Everything She Wants,Wham!,x,1980,1985-25
27,1985,https://en.wikipedia.org/wiki/Miami_Vice_Theme,Miami Vice Theme,Jan Hammer,x,1980,1985-27
